class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
com.lts.application.international.MessageFormatter,class,3,56,1,0,32,231,23,17,1,10,4,2,4,443
com.lts.caloriecount.ui.foodwin.FoodRowModelEvoSuiteTest,class,5,11,1,0,4,15,6,6,1,0,0,0,0,74
com.lts.swing.tree.mvc.TreeModelListenerHelperEvoSuiteTest,class,6,12,1,0,8,21,7,7,1,0,0,0,0,92
com.lts.swing.menu.PopupMouseListener,class,0,9,2,0,7,8,5,5,0,1,0,0,0,72
com.lts.application.ApplicationExceptionHandler,class,0,2,1,0,0,1,2,2,0,11,11,11,0,63
com.lts.application.ApplicationRuntimeException,class,0,15,4,0,2,103,15,15,0,1,0,0,1,107
com.lts.util.notifyinglist.TableBridgeEvoSuiteTest,class,22,10,1,0,11,21,7,7,1,0,0,0,0,99
com.lts.compare.ArrayCompareRecord,class,1,4,2,0,1,0,4,4,0,1,0,0,0,40
com.lts.exception.ExceptionHandlerEvoSuiteTest,class,6,6,1,0,9,10,5,5,1,0,0,0,9,48
com.lts.caloriecount.ui.propertywindow.KeyValueEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
com.lts.caloriecount.data.AdjustmentEvoSuiteTest,class,7,6,1,0,11,10,5,5,1,0,0,0,0,51
com.lts.caloriecount.ui.entry.EntryRowModel,class,2,16,1,0,6,47,11,11,0,6,5,5,0,92
com.lts.pest.queue.PriorityQueueEvoSuiteTest,class,7,7,1,0,3,6,4,4,1,0,0,0,0,47
com.lts.application.data.coll.ADLListenerHelperEvoSuiteTest,class,6,6,1,0,6,10,5,5,1,0,0,0,0,47
com.lts.swing.combobox.SimpleComboBoxModel,class,0,22,2,0,14,48,17,14,0,5,0,1,0,126
com.lts.util.scheduler.SchedulerQueueReaderEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
com.lts.caloriecount.ui.propertywindow.KeyValue,class,1,2,1,0,1,0,2,2,0,3,3,1,0,19
com.lts.swing.menu.MethodMenuActionEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,27
com.lts.application.data.coll.ApplicationDataListHelper,class,4,5,2,0,2,10,5,5,0,0,0,0,0,40
com.lts.application.data.IdApplicationDataListEvoSuiteTest,class,13,15,1,0,28,78,13,13,1,0,0,0,0,144
com.lts.util.CompareMethod,interface,0,1,1,0,0,0,1,1,0,3,3,3,0,26
com.lts.swing.list.ListListener,interface,0,4,1,0,0,6,4,4,0,0,0,0,0,27
com.lts.io.IOBufferOverflowException,class,0,1,4,0,0,0,1,1,0,0,0,0,0,35
com.lts.swing.SimpleChangeableListModelEvoSuiteTest,class,5,3,1,0,4,3,3,3,1,0,0,0,0,29
com.lts.util.zip.SimpleZipFileEvoSuiteTest,class,8,21,1,0,27,130,16,16,2,1,0,1,1,175
com.lts.beans.SimpleType,enum,1,3,1,0,2,0,2,2,2,2,0,2,1,47
com.lts.trace.Event,class,0,2,1,1,1,0,2,2,0,2,0,1,0,16
com.lts.swing.WindowHelperEvoSuiteTest,class,15,97,1,0,74,2080,65,65,1,0,0,0,2,628
com.lts.application.ApplicationErrors,interface,0,0,1,0,0,0,0,0,0,61,61,61,0,431
com.lts.swing.filefield.FileFieldPanel,class,4,16,7,0,16,48,12,12,1,5,0,1,1,116
com.lts.xmlser.tags.LongTagEvoSuiteTest,class,5,5,1,0,5,6,4,4,1,0,0,0,0,43
com.lts.application.data.AbstractAppDataEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
com.lts.caloriecount.ui.dayview.DayViewListBuilder,class,9,2,1,0,3,0,2,2,0,4,4,0,1,33
com.lts.application.prop.CommandLinePolicy,interface,0,1,1,0,0,0,1,1,0,0,0,0,0,26
com.lts.caloriecount.ui.propertywindow.PropertyNode,class,2,6,2,0,4,11,6,5,0,2,0,0,0,34
com.lts.swing.table.dragndrop.test.CallgraphTranscriber,class,7,15,2,0,20,10,5,2,1,0,0,0,2,71
com.lts.swing.table.dragndrop.test.CreateTransferableCalledEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
com.lts.caloriecount.ui.gatherwin.FrequentFoodListAdaptor,class,2,7,2,0,0,21,7,7,0,2,0,0,0,49
com.lts.application.menu.ApplicationMenuBuilderEvoSuiteTest,class,5,5,1,0,3,3,3,3,1,0,0,0,0,43
com.lts.swing.table.dragndrop.LTSTransferHandler,class,5,15,2,0,4,34,9,5,1,2,0,1,0,127
com.lts.xmlser.FieldValue,class,0,0,1,0,0,0,0,0,0,3,3,0,0,26
com.lts.application.Application,class,23,436,1,0,196,15675,179,158,16,51,21,32,58,2684
